id	filename	md5	size	state
5e28fc36-9f95-4b2c-837d-31a376f15f5f	TCGA-LGG.2b8942c4-3cb8-49c9-8d9a-404671341722.gene_level_copy_number.v36.tsv	3c214fc37d762cbea5c2e81de8d70734	3449101	released
e21296dc-cab4-45e2-875d-f861f4ad7bc8	TCGA-LGG.b0957649-e958-498b-ac47-9aa2ca6a99b4.gene_level_copy_number.v36.tsv	db2445a8f83e6a0c8d0cf29702a6b262	3446876	released
494d59c3-7732-45cf-9cdb-f876fd80294e	TCGA-LGG.89559eaa-8476-47ed-b6c7-55376e4e7f28.gene_level_copy_number.v36.tsv	068fb78cc03955b27e2e1f41ec6a211c	3446864	released
ade744f1-5415-4c6a-abfe-0253f32d3e1f	TCGA-LGG.23b3c7d4-883b-4910-8f78-670a85aa8980.gene_level_copy_number.v36.tsv	cd1256f1b065cb016f4d68d851ffe32e	3446841	released
b1dd1e45-cf29-4de9-b472-b3976fafc2f1	TCGA-LGG.90b493b8-8485-444d-8f35-7f8d2aa0536f.gene_level_copy_number.v36.tsv	1c62c9b0022e002ab9e0381b82dd76d8	3446815	released
aa6b9aba-f99a-4d34-bf17-2cc939b9182b	TCGA-LGG.dbdb0302-1462-4e97-a978-6d49a6a8dde8.gene_level_copy_number.v36.tsv	61b4ec8974dc3c5d7176820c743f8775	3446816	released
53c16a06-19b2-4444-83ad-7b9356ab1ab0	TCGA-LGG.145d2623-1de8-4375-bc95-f840e7523d66.gene_level_copy_number.v36.tsv	52ae18e9f2233de82bea07d620f7253e	3446831	released
8d420164-9903-40cd-9df2-09821883833a	TCGA-LGG.6d4b8b24-45da-433a-bad9-260a7a70ff70.gene_level_copy_number.v36.tsv	ed8e38a5b8783424fa1bd9a6b3d5b7e4	3446855	released
68f68175-950f-4f69-ba29-740aeb333647	TCGA-LGG.95e98c74-1f2f-454a-ac44-e035ceb0a0b8.gene_level_copy_number.v36.tsv	f666e0c46ef6aba1c32f85792cb20c12	3446828	released
1c1b586b-e9eb-4123-9920-ee4452030022	TCGA-LGG.7d26e9bb-694e-429d-9a82-33faa81f987c.gene_level_copy_number.v36.tsv	a1eba12f4c88278d3c9e82fab67a53a2	3446744	released
